TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,WON,YEAR
Texas Tech,B12,38,31,115.2,85.2,0.9696,53.5,43,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7,3,1,2019
Michigan,B10,40,33,114.4,90.4,0.9375,53.9,47.7,14,19.5,25.5,24.9,30.7,30,54.7,46.8,35.2,33.2,65.9,6.9,3,1,2018
Gonzaga,WCC,39,37,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30,26.2,39,26.9,56.3,40,38.2,29,71.5,7.7,1,1,2017
North Carolina,ACC,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,1,1,2016
Wisconsin,B10,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,1,1,2015
Virginia,ACC,38,35,123,89.9,0.9736,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,11.1,1,1,2019
Villanova,BE,40,36,128.4,94.1,0.9725,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,59,49,40.1,31.7,69.6,10.6,1,1,2018
North Carolina,ACC,39,33,121,91.5,0.9615,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,51,46.3,35.5,33.9,72.8,8.4,1,1,2017
Villanova,BE,40,35,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,57.4,44.1,36.2,33.9,66.7,8.9,2,1,2016
Duke,ACC,39,35,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,1,1,2015
Michigan St.,B10,39,32,119.9,91,0.9597,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,68.6,10.7,2,0,2019
Auburn,SEC,39,30,121.3,95.2,0.942,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,69.3,6.1,5,0,2019
Kansas,B12,39,31,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27,24.6,55.6,48.6,40.1,33.3,69.9,8.2,1,0,2018
Loyola Chicago,MVC,37,32,110.5,95.4,0.8444,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32,66.4,2,11,0,2018
Oregon,P12,38,33,117.8,93.8,0.9321,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,54.5,46.1,38,31.2,68.4,6,3,0,2017
South Carolina,SEC,36,26,108.7,89,0.9083,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,45.9,45.4,33.4,30.6,69.6,1.7,7,0,2017
Oklahoma,B12,37,29,118.2,94.1,0.9326,54.3,47.2,18.3,17.7,31.2,30.5,33,28.3,48.2,45.3,42.2,33.7,70.8,8,2,0,2016
Syracuse,ACC,37,23,111.9,93.6,0.8857,50,47.3,18.1,20.4,33.5,35.3,35.4,28,47.2,48.1,36,30.7,65.5,-0.3,10,0,2016
Kentucky,SEC,39,38,120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,1,0,2015
Michigan St.,B10,39,27,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,3,7,0,2015
Kentucky,SEC,40,29,117.2,96.2,0.9062,49.9,46,18.1,16.1,42,29.7,51.8,36.8,50,44.9,33.2,32.2,65.9,3.9,8,1,2014
Connecticut,Amer,40,32,112.5,91.3,0.9171,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33,64.8,4.7,7,1,2014
Florida,SEC,39,36,115.9,88.4,0.9575,52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,51.3,43.5,35.9,33,63.1,11.7,1,0,2014
Wisconsin,B10,38,30,122.7,95.9,0.9441,53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,51.3,45.9,37.6,34.1,63.9,7.9,2,0,2014
Michigan,B10,38,30,121.5,93.7,0.9522,54.6,48,14.6,18.7,32.5,29.4,28.4,22.7,53.4,47.6,37.9,32.6,64.8,6.2,4,1,2013
Louisville,BE,40,35,115.9,84.5,0.9743,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,67.1,9,1,1,2013
Syracuse,BE,40,30,113,87,0.9533,49,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,65.4,5.1,4,0,2013
Wichita St.,MVC,39,30,110.6,91,0.9045,50,45.3,19.4,20,38,26.5,36.5,38.3,49.6,43.6,33.9,32.2,65,2.2,9,0,2013
